user_id,group,order,accuracy_abs,accuracy_rela,resptime_abs,resptime_rela,attention_abs,attention_rela,anxiety_abs,anxiety_rela
0,random,1,-0.0350877192982456,-0.0404858299595141,-0.2357233207825331,-0.0435145326941517,-1.0,-0.1428571428571428,1.0,0.25
1,random,0,0.0183619935878753,0.0200063512226104,-0.1373436501685621,-0.0258754531330013,-1.0,-0.3333333333333333,1.0,0.2
2,rl,0,-0.0240963855421686,-0.0240963855421686,-0.5926652962206589,-0.0925628321639281,-1.0,-0.25,1.0,0.1666666666666666
3,random,1,0.0115248226950354,0.0121722846441947,-0.7617122138328583,-0.1483058487692155,1.0,0.1666666666666666,0.0,0.0
4,rl,1,0.0003092145949288,0.0003189792663476,-0.1999358754137379,-0.0316968091922342,3.0,1.5,-1.0,-0.1428571428571428
5,random,1,-0.0416281221091582,-0.0435203094777563,0.112836403112297,0.0223894202107526,1.0,0.25,2.0,0.4
6,rl,0,-0.0011128775834657,-0.0020086083213772,-0.4433618677818529,-0.1095427230553734,0.0,0.0,1.0,0.2
7,random,0,-0.0456730769230767,-0.0471464019851115,-0.271364252236518,-0.0720355979511861,0.0,0.0,1.0,0.5
8,rl,1,-0.0301613280336684,-0.0319148936170212,-0.0782908906941104,-0.0159461822137647,1.0,0.2,0.0,0.0
11,rl,0,-0.019570707070707,-0.019987105093488,-0.2254278893121561,-0.0454342795047838,0.0,0.0,0.0,0.0
10,random,0,0.1363636363636363,0.2571428571428571,0.962432946141058,0.4454206331215819,0.0,0.0,2.0,1.0
9,rl,1,-0.1312266842220757,-0.1368107984442917,-0.2964455560291181,-0.060005299182991,1.0,0.1666666666666666,4.0,2.0
12,random,0,-0.043478260869565,-0.0439560439560438,0.1150023652159655,0.0258953129000304,0.0,0.0,1.0,0.3333333333333333
13,rl,0,0.0104166666666666,0.0105263157894736,-0.4911836782254086,-0.0811840473640563,0.0,0.0,1.0,0.5
14,random,1,-0.1085592769803297,-0.1158778799228238,-0.2560536666983681,-0.0523600129140227,-1.0,-0.1428571428571428,1.0,0.1666666666666666
