participant,group,order,session,step,num_1,num_2,num_3,truth,feedback,accuracy,resptime,attention,attentiontime,anxiety,anxietytime,task
12350632,rl,1,calib,3.0,64.0,52.0,3.0,1.0,0.0,1.0,7.900606870651245,-1.0,-1.0,-1.0,-1.0,-1.0
12350632,rl,1,calib,6.0,32.0,12.0,5.0,1.0,0.0,1.0,7.696786880493164,-1.0,-1.0,-1.0,-1.0,-1.0
12350632,rl,1,calib,9.0,39.0,19.0,3.0,0.0,0.0,1.0,9.52009892463684,-1.0,-1.0,-1.0,-1.0,-1.0
12350632,rl,1,formal,1.0,78.0,15.0,9.0,1.0,0.0,1.0,9.81859302520752,4.0,9.812237024307253,5.0,9.361934900283812,0.0
12350632,rl,1,formal,3.0,32.0,17.0,5.0,1.0,1.0,1.0,9.855728149414062,4.0,9.812237024307253,5.0,9.361934900283812,0.0
12350632,rl,1,formal,5.0,44.0,36.0,9.0,0.0,1.0,1.0,7.661842107772827,4.0,9.812237024307253,5.0,9.361934900283812,0.0
12350632,rl,1,formal,7.0,57.0,26.0,5.0,0.0,1.0,1.0,6.9619200229644775,4.0,9.812237024307253,5.0,9.361934900283812,0.0
12350632,rl,1,formal,8.0,36.0,16.0,5.0,1.0,1.0,1.0,9.443629026412964,4.0,9.812237024307253,5.0,9.361934900283812,0.0
12350632,rl,1,formal,14.0,56.0,23.0,7.0,0.0,0.0,1.0,9.213624000549316,4.0,9.812237024307253,5.0,9.361934900283812,0.0
12350632,rl,1,formal,15.0,46.0,28.0,4.0,0.0,0.0,1.0,8.94526195526123,4.0,9.812237024307253,5.0,9.361934900283812,0.0
12350632,rl,1,formal,16.0,22.0,18.0,6.0,0.0,0.0,1.0,6.95145320892334,4.0,9.812237024307253,5.0,9.361934900283812,0.0
12350632,rl,1,formal,17.0,59.0,48.0,7.0,0.0,1.0,1.0,5.094537019729614,4.0,9.812237024307253,5.0,9.361934900283812,0.0
12350632,rl,1,formal,20.0,31.0,18.0,7.0,0.0,0.0,1.0,8.293024063110352,4.0,9.812237024307253,5.0,9.361934900283812,0.0
12350632,rl,1,formal,21.0,86.0,68.0,8.0,0.0,0.0,1.0,8.078953981399536,4.0,9.812237024307253,5.0,9.361934900283812,0.0
12350632,rl,1,formal,22.0,25.0,16.0,6.0,0.0,0.0,1.0,9.712653875350952,4.0,9.812237024307253,5.0,9.361934900283812,0.0
12350632,rl,1,formal,26.0,26.0,13.0,3.0,0.0,0.0,1.0,9.420738220214844,4.0,9.812237024307253,5.0,9.361934900283812,0.0
12350632,rl,1,formal,28.0,34.0,16.0,9.0,1.0,1.0,1.0,9.112881898880005,4.0,9.812237024307253,5.0,9.361934900283812,0.0
